Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,School
11.0,Guillermo Del Pino Luque,G,17,2,6.8,0.4,1.2,0.35,0.2,0.6,0.4,0.2,0.6,0.3,0.45,0.1,0.2,0.5,0.1,0.4,0.4,0.4,0.4,0.1,0.5,0.5,1.2,,Maryland
12.0,Collin Metcalf,C,24,6,10.0,0.4,0.8,0.474,0.0,0.0,,0.4,0.8,0.474,0.474,0.2,0.5,0.385,1.0,1.4,2.5,0.2,0.1,0.5,0.5,1.5,1.0,,Maryland
,Team Totals,,26,26,200.9,23.4,57.1,0.409,8.3,26.2,0.319,15.0,30.9,0.486,0.482,16.4,22.7,0.723,12.2,22.8,35.0,10.4,5.1,2.7,12.6,18.3,71.5,,Maryland
1.0,Jah'Likai King,G,24,24,32.5,4.7,11.6,0.401,1.4,4.9,0.291,3.3,6.8,0.481,0.462,3.4,4.1,0.818,0.4,3.3,3.7,1.6,0.9,0.2,1.4,1.6,14.1,,Maryland-Baltimore County
2.0,DJ Armstrong,F,25,25,32.7,4.2,9.6,0.444,2.8,6.9,0.41,1.4,2.6,0.53,0.592,1.9,2.0,0.922,0.2,2.8,2.9,2.3,0.8,0.4,1.3,1.5,13.2,,Maryland-Baltimore County
3.0,Ace Valentine,G,24,24,32.3,4.1,8.0,0.508,1.3,3.1,0.4,2.8,4.9,0.576,0.585,1.8,2.5,0.729,0.2,4.1,4.3,3.9,0.5,0.0,1.3,1.3,11.2,,Maryland-Baltimore County
4.0,Caden Diggs,F,24,2,23.1,3.9,8.0,0.49,0.9,2.6,0.355,3.0,5.4,0.554,0.547,1.6,2.0,0.809,0.5,3.0,3.5,0.9,0.5,0.5,1.5,1.6,10.3,,Maryland-Baltimore County
5.0,Josh Odunowo,F,22,20,22.7,3.0,5.8,0.523,0.0,0.0,,3.0,5.8,0.523,0.523,2.1,3.0,0.701,1.8,3.3,5.1,1.0,0.3,0.4,1.0,2.3,8.2,,Maryland-Baltimore County
6.0,Jose Roberto Tanchyn,F,24,9,17.1,2.3,4.8,0.487,0.6,2.0,0.319,1.7,2.8,0.603,0.552,0.6,0.9,0.682,1.3,3.5,4.8,0.7,0.5,0.4,0.8,1.9,5.9,,Maryland-Baltimore County
7.0,Daylon Dickerson,F,21,4,13.9,1.9,3.3,0.58,0.1,0.4,0.25,1.8,2.9,0.623,0.594,1.7,2.2,0.745,0.7,2.6,3.3,1.3,0.2,0.3,1.0,1.2,5.6,,Maryland-Baltimore County
8.0,Devin Ceaser,G,3,0,7.7,1.7,4.0,0.417,1.0,2.7,0.375,0.7,1.3,0.5,0.542,0.0,0.0,,0.0,1.0,1.0,0.3,0.0,0.0,1.7,0.3,4.3,,Maryland-Baltimore County
9.0,Riley Jacobs,F,24,16,16.5,1.6,3.5,0.447,0.0,0.5,0.0,1.6,3.1,0.514,0.447,1.0,2.0,0.532,1.5,2.3,3.7,0.7,0.4,0.5,0.9,1.3,4.2,,Maryland-Baltimore County
10.0,Cougar Downing,G,23,0,12.6,1.2,3.1,0.394,0.9,2.4,0.382,0.3,0.7,0.438,0.542,0.3,0.4,0.889,0.1,0.8,1.0,0.6,0.3,0.0,0.1,1.0,3.7,,Maryland-Baltimore County
11.0,Paul Greene,F,14,1,8.7,0.9,1.8,0.48,0.0,0.0,,0.9,1.8,0.48,0.48,0.5,0.9,0.538,0.6,1.8,2.4,0.2,0.4,0.0,0.8,0.7,2.2,,Maryland-Baltimore County
