 
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%▼,FT/FGA
76,Incarnate Word,31,12,19,.387,-7.27,-2.70,,7,15,,9,6,,2,12,,2302,2285,,66.3,112.0,.330,.392,.552,51.3,45.0,8.1,7.0,.521,14.2,34.1,.237
77,Massachusetts,33,17,16,.515,-2.38,-3.48,,7,11,,11,5,,2,8,,2648,2562,,71.1,110.3,.366,.353,.557,53.9,59.1,9.2,6.7,.530,15.3,34.1,.246
78,Yale,31,24,7,.774,5.71,-2.60,,11,3,,10,3,,9,3,,2520,2197,,66.0,121.6,.343,.364,.594,53.2,56.7,8.3,10.1,.564,12.0,34.0,.255
79,Texas Christian NCAA,35,23,12,.657,15.29,10.01,,11,7,,14,5,,5,5,,2708,2523,,69.4,110.2,.375,.368,.540,51.6,57.3,11.0,12.6,.504,13.0,34.0,.264
80,Akron NCAA,35,29,6,.829,8.50,-2.89,,17,1,,15,0,,9,3,,3075,2590,,71.6,122.7,.279,.448,.610,53.3,57.3,10.4,9.1,.585,13.1,33.9,.211
81,Pittsburgh,33,13,20,.394,8.05,9.35,,5,13,,8,10,,3,8,,2327,2370,,64.5,108.4,.304,.426,.535,51.9,52.3,10.1,9.5,.510,14.6,33.9,.205
82,Lindenwood,33,18,15,.545,-9.42,-8.75,,11,9,,9,5,,7,9,,2566,2398,,73.7,105.5,.371,.307,.533,51.6,51.6,12.0,11.0,.501,15.6,33.9,.252
83,Long Island University NCAA,35,24,11,.686,-5.13,-7.04,,15,3,,14,1,,10,9,,2577,2510,,68.2,107.6,.340,.293,.552,50.8,50.2,11.4,13.8,.528,16.3,33.9,.227
84,Presbyterian,33,15,18,.455,-8.45,-5.35,,7,9,,10,4,,3,13,,2388,2382,,66.7,107.2,.399,.291,.554,52.9,50.3,8.5,12.7,.522,16.6,33.9,.274
85,Wright State NCAA,35,23,12,.657,0.27,-3.88,,15,5,,11,5,,9,5,,2818,2579,,68.9,116.4,.371,.339,.582,52.7,48.0,10.7,11.6,.548,13.9,33.8,.274
86,East Carolina,31,11,20,.355,-5.78,0.39,,6,12,,7,10,,4,8,,2217,2401,,69.3,102.0,.393,.313,.507,50.4,47.3,9.2,10.6,.464,14.8,33.8,.276
87,Norfolk State,32,15,17,.469,-13.68,-10.64,,8,6,,9,4,,5,10,,2445,2362,,70.1,108.9,.424,.302,.551,51.4,44.6,10.1,9.3,.515,15.1,33.8,.294
88,La Salle,32,9,23,.281,-4.20,3.90,,5,13,,7,6,,1,13,,2148,2370,,66.5,100.9,.369,.315,.503,50.3,55.7,10.2,7.9,.457,15.4,33.8,.267
89,Albany (NY),32,11,21,.344,-14.10,-8.28,,7,9,,6,5,,4,13,,2303,2332,,66.6,108.1,.242,.372,.548,51.5,50.4,10.4,11.6,.530,15.6,33.8,.160
90,Maryland,33,12,21,.364,4.60,11.48,,4,16,,7,8,,2,10,,2300,2527,,66.7,104.1,.364,.469,.522,51.5,45.2,7.1,9.1,.481,15.7,33.8,.263
91,Wagner,31,14,17,.452,-11.97,-8.86,,8,10,,8,5,,6,12,,2210,2222,,66.2,105.5,.311,.364,.535,52.8,49.5,8.2,7.0,.501,16.1,33.8,.227
92,Mercer,32,19,13,.594,-3.03,-5.37,,11,7,,14,1,,5,11,,2646,2416,,70.9,116.6,.375,.406,.568,50.8,48.1,11.1,9.5,.533,12.5,33.7,.271
93,Eastern Kentucky,32,11,21,.344,-10.41,-4.81,,7,11,,8,7,,3,13,,2568,2619,,69.8,113.3,.312,.507,.557,50.3,53.4,9.9,9.0,.527,14.0,33.7,.226
94,Boise State,32,20,12,.625,12.01,7.81,,12,8,,12,4,,6,5,,2502,2351,,67.1,113.9,.417,.428,.576,55.7,50.5,6.7,6.0,.526,14.6,33.7,.327
95,Milwaukee,32,12,20,.375,-7.72,-2.46,,8,12,,8,6,,3,14,,2440,2548,,69.5,109.7,.322,.375,.534,51.3,48.4,9.7,8.5,.505,12.7,33.6,.222
96,Hampton,32,13,19,.406,-8.92,-4.82,,7,11,,10,2,,2,12,,2237,2264,,66.5,104.3,.373,.376,.512,51.0,50.3,9.7,9.0,.470,14.1,33.6,.268
97,Jacksonville,32,12,20,.375,-11.00,-5.34,,7,11,,8,4,,3,14,,2339,2349,,66.0,109.8,.336,.379,.549,52.4,46.2,10.0,8.4,.517,14.4,33.6,.241
98,FDU,32,11,21,.344,-15.18,-7.63,,8,10,,8,6,,3,15,,2150,2245,,64.5,103.8,.321,.455,.517,52.5,51.9,7.8,4.9,.483,15.4,33.6,.226
99,North Texas,33,19,14,.576,2.01,1.07,,9,9,,12,5,,5,7,,2341,2225,,66.5,104.2,.399,.325,.515,50.0,51.1,13.7,13.5,.474,14.2,33.4,.277
100,Texas A&M-Corpus Christi,33,18,15,.545,-2.74,-1.88,,13,9,,10,5,,7,9,,2393,2234,,68.2,105.9,.387,.319,.545,53.0,52.0,11.1,8.8,.514,16.6,33.4,.262
101,Oklahoma,35,20,15,.571,14.62,9.02,,7,11,,11,5,,4,7,,2903,2707,,68.8,119.7,.362,.441,.583,50.5,50.4,9.2,10.8,.547,12.2,33.3,.272
102,Elon,32,14,18,.438,-5.72,-3.26,,6,12,,8,8,,6,9,,2500,2492,,68.1,113.0,.337,.431,.557,50.1,54.5,10.0,8.9,.525,13.4,33.3,.243
103,Cal State Northridge,34,20,14,.588,-2.30,-1.61,,12,8,,12,3,,7,8,,2767,2713,,75.6,107.3,.337,.338,.535,53.4,56.7,9.1,8.9,.509,14.7,33.3,.224
104,Southern California,32,18,14,.563,10.35,10.93,,7,13,,9,7,,5,6,,2515,2494,,71.0,108.5,.441,.336,.551,51.5,57.2,8.8,15.3,.507,14.9,33.3,.319
105,New Mexico State,32,16,16,.500,-1.35,-1.42,,8,12,,10,5,,3,8,,2403,2303,,68.1,109.0,.352,.381,.530,51.5,49.8,9.3,9.5,.490,12.9,33.2,.256
106,Kentucky NCAA,36,22,14,.611,19.14,12.98,,10,8,,14,4,,4,6,,2898,2676,,69.7,115.2,.374,.397,.568,52.0,56.9,10.0,12.7,.533,13.2,33.2,.272
107,Texas Tech NCAA,34,23,11,.676,21.08,13.90,,12,6,,14,2,,5,5,,2729,2485,,67.9,117.8,.277,.476,.583,51.8,55.0,8.8,9.7,.561,13.5,33.2,.198
108,Missouri State,34,16,18,.471,-2.78,-1.53,,8,12,,11,7,,3,10,,2551,2502,,66.9,110.5,.421,.409,.550,50.6,56.6,10.0,8.4,.517,14.0,33.2,.285
109,Louisiana State,32,15,17,.469,12.28,9.35,,3,15,,9,8,,3,7,,2606,2512,,68.6,115.5,.409,.345,.573,51.6,52.5,8.5,10.3,.528,13.4,33.1,.313
110,Northern Kentucky,34,20,14,.588,-2.61,-4.83,,10,10,,12,5,,7,8,,2827,2634,,71.8,114.9,.362,.446,.574,50.4,54.6,11.9,9.7,.544,14.0,33.1,.258
111,Navy,34,26,8,.765,-1.09,-9.53,,17,1,,15,2,,10,5,,2537,2187,,65.2,113.2,.395,.335,.572,54.2,62.0,11.5,10.5,.535,14.7,33.1,.290
112,UAB,32,20,12,.625,3.53,-0.28,,11,7,,8,9,,10,2,,2535,2361,,70.8,110.5,.363,.305,.524,52.4,50.2,11.0,9.5,.486,10.5,33.0,.256
113,Utah State NCAA,36,29,7,.806,17.62,7.45,,15,5,,14,1,,7,5,,2958,2546,,68.4,119.7,.380,.412,.596,50.8,60.6,12.6,8.7,.569,13.1,32.9,.270
114,Rider,29,4,25,.138,-19.17,-5.03,,3,17,,4,9,,0,16,,1840,2204,,65.9,96.3,.308,.275,.471,48.8,44.4,9.2,9.8,.433,14.3,32.9,.214
115,Florida Atlantic,33,18,15,.545,3.71,1.87,,9,9,,11,4,,4,8,,2596,2453,,70.4,110.5,.330,.386,.555,52.8,46.8,8.3,14.0,.525,14.8,32.9,.234
116,Maryland-Eastern Shore,32,9,23,.281,-17.64,-8.51,,5,9,,6,4,,2,18,,2060,2265,,64.9,97.3,.290,.333,.526,50.3,56.3,8.6,8.1,.494,20.5,32.9,.208
