Rk,Team,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,NetRtg,,ORtg,,DRtg,,NetRtg,
178,FIU,CUSA,4-Jun,-1.91,106.7,186,108.6,187,72.8,26,0.054,86,0.82,158,109.5,103,108.7,233,0.82,154
179,UT Rio Grande Valley,Slnd,6-May,-1.97,105.5,211,107.4,160,69.6,156,-0.075,321,5,53,109.1,114,104.1,25,6.16,43
180,Tarleton St.,WAC,4-Sep,-2.07,105.5,209,107.5,161,71,77,0.068,67,1.89,124,107.6,193,105.7,68,1.89,121
181,Saint Joseph's,A10,4-Jul,-2.09,103.8,246,105.9,127,69.3,171,0.099,31,-6.28,333,104.4,329,110.7,334,-6.28,332
182,Portland St.,BSky,4-Jun,-2.2,103,257,105.2,115,70.4,106,0.009,168,0.87,157,109.5,100,108.7,231,0.87,152
183,UC Davis,BW,5-May,-2.21,105.1,218,107.3,157,69.6,150,0.006,174,2.92,97,107.9,172,105,44,1.57,132
184,Incarnate Word,Slnd,6-May,-2.31,110.7,121,113,292,66.5,310,-0.036,249,7.1,33,111.9,34,104.8,37,11.45,13
185,Vermont,AE,6-Aug,-2.41,111.2,114,113.6,310,66.7,295,0.018,150,-1.02,205,106.8,239,107.8,175,-1.02,205
186,Idaho,BSky,4-Jul,-2.5,110,130,112.5,282,67.1,279,0.018,149,2.27,112,109.9,86,107.7,170,2.27,113
187,San Jose St.,MWC,6-May,-2.54,108.3,154,110.8,239,65.8,328,-0.008,209,0.6,163,108.8,124,108.2,201,0.6,160
188,Harvard,Ivy,6-Jun,-2.66,106.2,195,108.8,195,65.7,334,-0.091,334,-5.18,317,103.9,336,109.1,261,-5.18,317
189,Austin Peay,ASun,5-May,-2.74,101.4,283,104.2,100,69.9,137,-0.028,237,2.77,100,110.2,74,107.5,161,2.77,104
