Rank,Team,oRB%,Last 3,Last 1,Home,Away,2024
149,Florida St,29.30%,20.00%,17.20%,30.30%,28.20%,27.60%
150,Florida A&M,29.20%,34.00%,18.50%,33.80%,26.60%,25.00%
151,New Mexico,29.20%,30.00%,29.70%,30.60%,27.60%,28.80%
152,F Dickinson,29.20%,27.30%,22.20%,34.20%,26.40%,23.80%
153,George Mason,29.10%,37.20%,36.10%,28.10%,30.70%,29.10%
154,UNLV,29.10%,20.00%,12.10%,33.70%,25.00%,25.60%
155,Vanderbilt,29.00%,28.40%,31.40%,31.90%,26.70%,29.10%
156,Furman,29.00%,21.60%,13.80%,31.60%,27.10%,27.90%
157,West Virginia,29.00%,24.20%,22.60%,30.70%,27.10%,23.90%
158,Cincinnati,29.00%,27.70%,23.10%,28.60%,29.40%,31.00%
159,Hawai'i,29.00%,35.20%,25.00%,28.40%,29.60%,28.50%
160,E Washington,28.90%,26.60%,21.90%,29.00%,28.90%,24.70%
161,Hampton,28.90%,25.20%,39.50%,24.90%,30.70%,32.30%
162,UC Irvine,28.90%,32.70%,23.70%,28.10%,29.70%,25.60%
163,North Carolina,28.80%,20.80%,19.40%,30.20%,27.40%,25.50%
164,UCLA,28.80%,26.00%,22.60%,29.30%,28.40%,31.90%
165,Saint Louis,28.80%,20.70%,8.80%,31.20%,26.30%,21.40%
166,FGCU,28.80%,33.30%,23.70%,29.50%,28.20%,28.10%
167,CS Northridge,28.80%,23.90%,21.90%,29.20%,28.50%,33.50%
168,Youngstown St,28.70%,18.90%,26.30%,30.60%,27.40%,27.80%
169,Denver,28.70%,25.00%,26.70%,27.30%,29.50%,23.20%
170,J Madison,28.70%,29.60%,23.30%,27.40%,29.60%,30.80%
171,Tenn Tech,28.60%,19.50%,15.40%,32.00%,26.50%,23.20%
172,S Indiana,28.60%,32.70%,38.30%,29.70%,27.80%,25.00%
173,Duquesne,28.50%,36.10%,25.90%,30.20%,26.80%,32.10%
174,Queens,28.40%,29.50%,25.00%,30.10%,27.50%,29.90%
175,Oakland,28.40%,32.60%,35.90%,31.10%,26.80%,32.60%
176,CS Bakersfield,28.40%,25.50%,30.80%,30.40%,26.40%,33.70%
177,Grambling,28.40%,25.70%,25.00%,30.30%,27.40%,24.00%
178,DePaul,28.40%,25.20%,19.40%,29.10%,27.40%,24.70%
179,Loyola Chi,28.30%,26.80%,28.20%,27.80%,28.90%,27.10%
180,San Diego St,28.30%,31.30%,25.00%,31.70%,25.30%,26.80%
181,SE Missouri St,28.30%,24.00%,26.80%,29.40%,27.60%,22.40%
182,Rutgers,28.30%,24.50%,28.20%,29.30%,27.30%,28.80%
183,Cornell,28.30%,29.50%,42.90%,27.60%,28.70%,24.00%
184,Iowa,28.30%,22.70%,23.10%,30.20%,26.40%,23.40%
185,N Alabama,28.30%,31.80%,18.50%,30.30%,27.10%,31.70%
186,Penn,28.30%,21.60%,20.00%,30.50%,26.40%,23.40%
187,Tarleton St,28.30%,37.20%,28.10%,28.40%,28.20%,25.80%
188,Oklahoma St,28.20%,25.30%,24.40%,30.50%,25.00%,28.10%
189,NC Asheville,28.20%,26.60%,34.40%,27.90%,28.50%,28.90%
