Rank,team,rating,Hi,Lo,Last
65,Virginia Tech,8.4,49,290,65
66,Wake Forest,8.4,24,289,66
67,Butler,8.3,23,347,67
68,Colorado,8.2,65,221,68
69,Syracuse,8,24,353,69
70,South Carolina,8,69,344,70
71,Pittsburgh,7.9,54,211,71
72,Notre Dame,7.8,27,328,72
73,Utah,7.7,68,286,73
74,Utah St,7.4,46,302,74
75,Stanford,7.3,70,231,75
76,San Diego St,7.3,28,307,76
77,Rutgers,7.1,75,349,77
78,DePaul,6.6,76,340,78
79,Santa Clara,6.6,63,302,79
80,Penn St,6.6,74,278,80
81,Saint Mary's,6.3,51,215,81
82,VCU,6.1,16,296,82
83,Boise St,5.9,40,320,83
84,California,5.7,74,262,84
85,New Mexico,5.5,63,268,85
86,Saint Louis,5.4,79,306,86
87,Dayton,5.2,37,299,87
88,Nevada,5,69,186,88
89,S Florida,4.8,32,309,89
90,Grand Canyon,4.7,74,231,90
91,UNLV,4.4,75,234,91
92,Memphis,4.1,4,120,92
93,Boston College,4,77,219,93
94,Georgia Tech,3.8,85,331,94
95,Colorado St,3.7,85,281,95
96,G Washington,3.3,84,265,96
97,Wichita St,3,74,296,97
98,Wyoming,3,95,353,98
99,San Francisco,2.5,69,321,99
100,Tulsa,2.4,77,319,100
101,Washington St,2.3,80,233,101
102,Illinois St,2.2,40,162,102
103,N Iowa,2.2,99,251,103
104,San Jose St,2.2,13,156,104
105,Fresno St,1.9,100,349,105
106,Saint Joseph's,1.8,104,300,106
107,La Salle,1.7,101,325,107
108,Davidson,1.7,97,321,108
109,Duquesne,1.6,103,311,109
110,Oregon St,1.5,53,212,110
111,Murray St,1.4,92,267,111
112,Rhode Island,1.3,102,310,112
113,George Mason,1.3,96,302,113
114,S Illinois,1.2,85,358,114
115,Florida Atlantic,1.2,57,192,115
116,St Bonaventure,1,70,234,116
117,Illinois Chicago,1,114,302,117
118,Seattle,0.9,113,309,118
119,Pacific,0.9,115,340,119
120,Belmont,0.8,111,343,120
121,Bradley,0.6,80,170,121
122,McNeese,0.6,76,313,122
123,N Texas,0.5,90,333,123
124,UAB,0.4,73,309,124
125,Loyola Chi,0.4,116,299,125
126,Hofstra,0.1,51,176,126
127,Richmond,0.1,118,358,127
128,Akron,0.1,51,304,128
129,Sam Houston,0,75,330,129
130,Charlotte,0,100,267,130
131,Valparaiso,-0.1,116,327,131
132,Penn,-0.1,104,365,132
133,Drake,-0.1,127,328,133
134,Loyola Mymt,-0.2,111,317,134
135,Yale,-0.2,79,153,135
136,Liberty,-0.4,89,319,136
137,Tulane,-0.4,107,264,137
138,Middle Tenn,-0.5,82,363,138
139,Portland,-0.6,129,360,139
140,Evansville,-0.6,2,331,140
141,Cal Baptist,-0.7,90,295,141
142,Toledo,-0.7,111,208,142
143,Temple,-0.7,127,343,143
144,Oakland,-0.7,1,186,144
145,W Kentucky,-0.7,107,332,145
146,Cornell,-0.7,41,232,146
147,Air Force,-0.7,64,304,147
148,New Orleans,-0.8,5,283,148
149,Indiana St,-0.9,88,291,149
150,Campbell,-0.9,13,197,150
151,Utah Valley,-1,85,325,151
152,E Washington,-1,11,229,152
153,Towson,-1.2,48,222,153
154,San Diego,-1.3,136,355,154
155,Kennesaw St,-1.3,141,364,155
156,Miami OH,-1.3,137,360,156
157,Troy,-1.5,29,170,157
158,UT Arlington,-1.5,148,342,158
159,Princeton,-1.5,20,250,159
160,UC Irvine,-1.5,104,327,160
161,UT Rio Grande,-1.5,9,251,161
162,Rice,-1.6,97,310,162
163,Kent St,-1.6,112,275,163
164,Charleston,-1.7,130,320,164
165,Harvard,-1.7,98,359,165
166,William & Mary,-1.7,78,348,166
167,CS Fullerton,-1.7,156,364,167
168,New Mexico St,-1.7,130,365,168
169,E Carolina,-1.7,131,315,169
170,E Michigan,-1.8,110,294,170
171,Montana St,-1.8,61,244,171
172,Pepperdine,-1.9,162,333,172
173,Fordham,-1.9,144,363,173
174,Cal Poly,-2,16,263,174
175,High Point,-2,111,262,175
176,Florida Intl,-2,94,346,176
177,Northeastern,-2,114,256,177
178,UCSD,-2.1,109,354,178
179,Monmouth,-2.1,118,357,179
180,Nicholls,-2.1,5,222,180
181,Ohio,-2.2,32,195,181
182,CS Northridge,-2.2,148,328,182
