Rank,Team,TOV%,Last 3,Last 1,Home,Away,2024
105,Chicago St,15.10%,14.00%,14.50%,14.50%,15.40%,18.10%
106,Tulsa,15.10%,17.50%,19.20%,14.70%,15.50%,16.40%
107,Wake Forest,15.20%,18.00%,15.60%,15.60%,14.60%,16.20%
108,Valparaiso,15.20%,14.90%,21.20%,14.40%,16.00%,13.70%
109,SMU,15.20%,13.50%,8.90%,14.20%,16.50%,16.70%
110,Bellarmine,15.20%,14.00%,18.40%,14.70%,15.60%,17.20%
111,Kansas,15.20%,15.80%,22.30%,14.60%,15.70%,16.50%
112,LSU,15.30%,20.00%,12.60%,15.70%,14.70%,18.10%
113,N Dakota St,15.30%,15.30%,16.00%,15.90%,15.00%,15.30%
114,Charleston,15.30%,11.50%,12.70%,16.30%,14.50%,15.90%
115,Manhattan,15.30%,17.60%,23.10%,14.30%,16.00%,16.30%
116,Penn St,15.30%,18.60%,26.80%,14.80%,16.00%,17.10%
117,American,15.30%,10.30%,13.00%,15.40%,15.30%,16.40%
118,San Francisco,15.30%,12.20%,12.90%,15.10%,15.60%,16.30%
119,Weber St,15.40%,15.20%,12.70%,15.40%,15.30%,16.50%
120,Oklahoma St,15.40%,12.10%,14.60%,15.80%,14.70%,18.60%
121,Georgetown,15.40%,18.20%,17.70%,14.40%,16.40%,16.60%
122,George Mason,15.40%,14.60%,12.30%,15.70%,15.00%,19.30%
123,Prairie View,15.40%,12.50%,9.50%,15.20%,15.50%,16.30%
124,W Georgia,15.40%,17.80%,18.00%,15.20%,15.60%,15.90%
125,Texas Tech,15.40%,14.50%,13.80%,14.20%,16.60%,13.90%
126,Butler,15.50%,17.30%,10.40%,15.20%,15.70%,15.80%
127,FGCU,15.50%,14.50%,16.80%,15.10%,15.80%,15.90%
128,Davidson,15.50%,12.70%,8.10%,14.00%,17.10%,14.30%
129,Siena,15.50%,15.50%,9.40%,14.00%,16.40%,16.90%
130,Towson,15.50%,13.80%,9.50%,14.50%,16.10%,14.20%
131,Georgia St,15.50%,12.60%,19.90%,13.40%,16.90%,16.40%
132,Syracuse,15.50%,15.50%,16.40%,15.00%,16.20%,17.50%
133,Virginia,15.50%,16.20%,10.00%,14.40%,16.50%,16.00%
134,Elon,15.60%,22.30%,27.70%,15.50%,15.70%,18.60%
135,IU Indy,15.60%,17.60%,14.40%,15.30%,15.80%,15.40%
136,Marquette,15.60%,16.50%,11.80%,14.90%,16.30%,13.30%
137,Duke,15.60%,19.40%,20.10%,15.40%,15.70%,13.70%
138,Green Bay,15.60%,11.30%,13.10%,14.10%,16.50%,17.70%
139,UCF,15.60%,17.00%,22.50%,14.60%,16.80%,16.10%
140,Quinnipiac,15.60%,12.70%,17.50%,16.30%,15.10%,17.70%
141,Cornell,15.60%,12.90%,9.30%,16.40%,15.20%,16.40%
142,Detroit Mercy,15.70%,14.20%,17.10%,15.80%,15.50%,18.50%
143,Omaha,15.70%,11.90%,17.50%,15.70%,15.70%,15.20%
144,Hofstra,15.70%,16.20%,16.50%,16.80%,15.20%,17.20%
145,N Arizona,15.70%,18.00%,13.50%,13.90%,17.20%,14.80%
146,Mississippi St,15.70%,17.50%,15.00%,15.20%,16.30%,14.90%
147,Wright St,15.70%,12.40%,10.50%,15.70%,15.80%,17.40%
148,Lipscomb,15.70%,12.30%,17.20%,13.80%,17.00%,14.50%
149,Miami,15.80%,14.00%,18.00%,14.10%,17.70%,15.70%
150,Ball St,15.80%,13.20%,17.50%,15.30%,16.10%,16.10%
151,S Dakota St,15.80%,17.20%,18.00%,12.90%,17.30%,17.30%
152,Buffalo,15.80%,16.30%,18.30%,15.50%,16.00%,19.10%
153,Baylor,15.80%,14.00%,16.70%,15.50%,16.20%,15.50%
154,Wyoming,15.90%,13.10%,13.00%,15.20%,16.80%,19.40%
155,The Citadel,15.90%,12.50%,13.60%,15.10%,16.50%,19.10%
156,C Connecticut,15.90%,14.80%,11.30%,15.70%,16.10%,16.80%
157,N Kentucky,15.90%,12.10%,18.80%,15.30%,16.50%,16.90%
158,Michigan,15.90%,12.50%,14.30%,15.70%,16.10%,19.10%
159,Florida,16.00%,15.80%,17.20%,15.00%,16.70%,15.40%
160,Murray St,16.00%,13.10%,20.50%,15.40%,16.40%,16.50%
161,UConn,16.00%,9.80%,6.30%,14.50%,17.20%,16.50%
162,Northeastern,16.00%,14.20%,10.20%,13.80%,17.40%,18.00%
163,Creighton,16.00%,14.10%,10.30%,15.60%,16.50%,17.60%
164,Marshall,16.10%,15.60%,18.70%,15.20%,17.00%,16.00%
165,UCSD,16.10%,16.50%,20.20%,17.10%,15.50%,13.00%
166,Minnesota,16.10%,18.50%,13.10%,15.40%,16.90%,16.10%
167,Alabama A&M,16.10%,14.20%,15.40%,15.40%,16.80%,21.40%
168,New Hampshire,16.20%,13.10%,15.20%,15.40%,16.60%,18.50%
