 
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
115,Houston Christian,32,12,20,.375,-9.96,-3.83,,8,14,,9,5,,3,13,,2147,2309,,65.2,110.3,.299,.374,.564,51.2,52.9,10.7,9.4,.538,15.6,32.1,.213
116,Howard NCAA,35,24,11,.686,-4.25,-10.41,,11,3,,11,4,,7,6,,2722,2420,,69.9,98.5,.407,.349,.525,46.7,46.5,8.4,10.7,.482,18.3,30.2,.288
117,Idaho NCAA,36,21,15,.583,-0.53,-2.17,,9,9,,9,4,,7,9,,2800,2618,,69.5,104.3,.373,.366,.539,47.3,46.1,9.1,8.5,.496,13.7,23.5,.275
118,Idaho State,33,13,20,.394,-5.87,-1.93,,5,13,,8,6,,3,12,,2459,2513,,66.9,113.4,.360,.374,.578,46.9,48.5,9.8,8.9,.540,13.2,27.0,.274
119,Illinois NCAA,36,28,8,.778,27.05,11.94,,15,5,,14,3,,8,2,,3017,2473,,65.7,103.1,.194,.431,.499,42.8,51.7,8.1,8.3,.474,10.2,26.8,.142
120,Illinois State,36,23,13,.639,6.53,1.48,,12,8,,14,2,,7,7,,2688,2466,,67.3,101.4,.317,.354,.523,47.8,51.8,9.1,8.7,.493,14.1,25.5,.218
121,Illinois-Chicago,35,19,16,.543,3.16,0.46,,12,8,,9,5,,7,9,,2640,2470,,67.3,103.3,.327,.460,.542,47.3,66.1,9.6,9.9,.505,17.4,31.1,.244
122,Incarnate Word,31,12,19,.387,-7.27,-2.70,,7,15,,9,6,,2,12,,2302,2285,,66.3,111.2,.399,.354,.566,48.7,51.1,9.0,9.2,.530,14.0,30.3,.286
123,Indiana,32,18,14,.563,16.43,10.43,,9,11,,14,4,,3,8,,2501,2309,,66.6,107.1,.370,.368,.536,50.0,49.0,8.2,10.1,.490,13.1,29.3,.280
124,Indiana State,32,11,21,.344,-3.09,0.31,,4,16,,8,7,,3,12,,2354,2383,,68.9,106.0,.282,.347,.528,50.6,43.5,11.5,12.7,.502,13.2,30.3,.194
125,Iona,32,18,14,.563,-7.34,-8.06,,10,10,,11,3,,6,8,,2363,2340,,68.4,104.8,.288,.407,.523,51.2,56.5,10.7,11.1,.489,14.2,31.2,.211
126,Iowa NCAA,37,24,13,.649,19.24,10.97,,10,10,,14,3,,3,8,,2758,2452,,62.8,105.2,.385,.400,.565,49.6,52.1,8.1,8.8,.526,17.9,29.2,.284
127,Iowa State NCAA,37,29,8,.784,26.69,10.34,,12,6,,16,1,,5,5,,3033,2428,,68.5,95.8,.281,.426,.527,46.9,55.0,9.6,10.2,.498,19.9,28.6,.199
128,IU Indy,32,7,25,.219,-12.62,-4.32,,3,17,,5,9,,2,15,,2673,2825,,76.1,115.5,.464,.353,.613,54.1,52.7,10.0,7.8,.577,17.7,34.7,.343
129,Jackson State,33,12,21,.364,-19.74,-6.23,,10,8,,7,3,,4,15,,2318,2764,,71.0,117.0,.419,.397,.572,54.2,60.9,11.1,12.4,.530,13.9,37.2,.313
130,Jacksonville,32,12,20,.375,-11.00,-5.34,,7,11,,8,4,,3,14,,2339,2349,,66.0,110.3,.423,.353,.565,47.6,50.0,10.0,7.2,.529,13.7,28.0,.297
131,Jacksonville State,32,15,17,.469,-3.58,-2.93,,10,10,,10,7,,5,8,,2325,2188,,66.7,101.8,.380,.427,.522,47.6,50.3,9.4,9.3,.476,14.7,27.2,.280
132,James Madison,33,18,15,.545,-5.20,-5.48,,9,9,,11,4,,5,10,,2460,2437,,67.0,109.4,.397,.381,.532,48.5,45.1,9.4,10.8,.488,11.1,29.2,.287
