Player,Team,Est_Possessions,O_BAPM,D_BAPM,Total_BAPM
Tre White,Illinois,410.3,13.12,1.87,14.99
Bo Montgomery,UNC Wilmington,407.7,10.35,4.55,14.9
RJ Keene II,Boise St,432.2,7.11,7.78,14.89
Javan Buchanan,Boise St,357.0,7.15,7.74,14.89
Arthur Kaluma,Texas,433.4,11.77,3.1,14.87
Daniel Abreu,Drake,484.9,8.34,6.48,14.82
Pearson Carmichael,Boise St,424.8,7.3,7.51,14.81
Tramon Mark,Texas,411.0,11.48,3.32,14.8
Money Williams,Montana,334.9,15.87,-1.07,14.8
Brandon Whitney,Montana,423.6,15.54,-0.77,14.77
Te'Jon Sawyer,Montana,381.1,15.26,-0.5,14.76
VJ Edgecombe,Baylor,634.7,10.79,3.96,14.75
Jamal West Jr.,Nicholls,266.9,10.62,4.13,14.75
Cam Manyawu,Drake,340.1,7.91,6.82,14.73
Khamari McGriff,UNC Wilmington,242.5,10.13,4.57,14.7
Donovan Newby,UNC Wilmington,492.9,10.11,4.57,14.68
Joe Pridgen,Montana,377.4,15.22,-0.55,14.67
Kasparas Jakucionis,Illinois,567.9,12.78,1.88,14.66
Kadin Shedrick,Texas,408.7,11.67,2.96,14.63
Sean Moore,UNC Wilmington,430.5,9.99,4.63,14.62
Terell Strickland,Long Island,233.9,4.52,10.09,14.61
Blake Lander,Long Island,245.0,4.54,10.05,14.59
George Beale Jr.,Hampton,363.9,11.79,2.79,14.58
Brice Williams,Nebraska,690.1,8.74,5.81,14.55
Nolan Hodge,UNC Wilmington,353.4,9.79,4.74,14.53
Ian Schieffelin,Clemson,443.9,5.19,9.31,14.5
Noah Ross,UNC Wilmington,330.6,9.79,4.71,14.5
Chris Manon,Vanderbilt,348.5,10.89,3.56,14.45
KeShawn Murphy,Mississippi St,400.7,7.86,6.57,14.43
Rob Brown III,Nicholls,403.5,9.97,4.45,14.42
Tyeree Bryan,Santa Clara,345.4,10.16,4.26,14.42
