Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_School,Overall_G,Overall_W,Overall_L,Overall_W-L%,Overall_SRS,Overall_SOS,Unnamed: 8_level_0_Unnamed: 8_level_1,Conf._W,Conf._L,Unnamed: 11_level_0_Unnamed: 11_level_1,Home_W,Home_L,Unnamed: 14_level_0_Unnamed: 14_level_1,Away_W,Away_L,Unnamed: 17_level_0_Unnamed: 17_level_1,Points_Tm.,Points_Opp.,Unnamed: 20_level_0_Unnamed: 20_level_1,Totals_MP,Totals_FG,Totals_FGA,Totals_FG%,Totals_3P,Totals_3PA,Totals_3P%,Totals_FT,Totals_FTA,Totals_FT%,Totals_ORB,Totals_TRB,Totals_AST,Totals_STL,Totals_BLK,Totals_TOV,Totals_PF
267,San Francisco,33,17,16,.515,4.00,3.84,,8,10,,9,6,,4,7,,2464,2414,,1330,819,1876,.437,299,861,.347,527,739,.713,361,1190,460,176,99,359,566
268,San Jose State,33,9,24,.273,-2.06,6.35,,3,17,,6,10,,1,12,,2376,2591,,1325,827,1893,.437,259,723,.358,463,633,.731,340,980,354,190,74,333,582
269,Santa Clara NCAA,35,26,9,.743,15.48,6.09,,15,3,,14,1,,8,3,,2901,2552,,1405,1062,2278,.466,356,1027,.347,421,569,.740,457,1252,587,311,128,375,683
270,Seattle,35,21,14,.600,4.59,2.71,,8,10,,14,4,,5,8,,2525,2354,,1406,885,2012,.440,263,778,.338,492,696,.707,308,1139,474,281,170,403,574
271,Seton Hall,33,21,12,.636,13.28,8.28,,10,10,,12,5,,6,5,,2321,2156,,1320,837,1922,.435,157,515,.305,490,678,.723,412,1180,432,304,187,366,620
272,Siena NCAA,35,23,12,.657,-3.64,-8.18,,13,7,,9,4,,9,7,,2463,2304,,1405,885,1947,.455,192,627,.306,501,650,.771,357,1201,471,202,108,357,483
273,South Alabama,33,21,12,.636,-4.29,-6.22,,11,7,,10,4,,8,7,,2454,2312,,1345,870,1868,.466,238,683,.348,476,723,.658,284,1168,394,266,74,284,417
274,South Carolina,32,13,19,.406,7.28,8.81,,4,14,,11,8,,2,8,,2398,2447,,1295,805,1855,.434,256,824,.311,532,681,.781,296,1042,426,176,76,318,563
275,South Carolina State,32,10,22,.313,-21.97,-8.81,,7,7,,6,5,,3,16,,2147,2522,,1280,732,1775,.412,197,584,.337,486,727,.669,355,993,387,223,124,473,685
276,South Carolina Upstate,32,13,19,.406,-10.39,-5.70,,5,11,,10,5,,3,13,,2376,2357,,1300,855,1941,.440,231,704,.328,435,635,.685,354,1177,411,213,150,400,584
