Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_School,Overall_G,Overall_W,Overall_L,Overall_W-L%,Overall_SRS,Overall_SOS,Unnamed: 8_level_0_Unnamed: 8_level_1,Conf._W,Conf._L,Unnamed: 11_level_0_Unnamed: 11_level_1,Home_W,Home_L,Unnamed: 14_level_0_Unnamed: 14_level_1,Away_W,Away_L,Unnamed: 17_level_0_Unnamed: 17_level_1,Points_Tm.,Points_Opp.,Unnamed: 20_level_0_Unnamed: 20_level_1,School Advanced_Pace,School Advanced_ORtg,School Advanced_FTr,School Advanced_3PAr,School Advanced_TS%,School Advanced_TRB%,School Advanced_AST%,School Advanced_STL%,School Advanced_BLK%,School Advanced_eFG%,School Advanced_TOV%,School Advanced_ORB%,School Advanced_FT/FGA
74,Duke NCAA,38,35,3,.921,30.15,12.15,,17,1,,15,0,,10,1,,3102,2418,,66.8,122.2,.382,.435,.597,57.9,58.8,11.1,10.5,.566,13.5,38.4,.278
75,Duquesne,33,18,15,.545,3.27,2.23,,9,9,,12,6,,5,7,,2584,2481,,69.7,110.6,.378,.438,.566,50.9,56.2,11.0,8.9,.532,15.3,31.1,.270
76,East Carolina,31,11,20,.355,-5.80,0.36,,6,12,,7,10,,4,8,,2217,2401,,69.3,102.0,.393,.313,.507,50.4,47.3,9.2,10.6,.464,14.8,33.8,.276
77,East Tennessee State,34,23,11,.676,-0.79,-7.48,,13,5,,13,4,,8,6,,2638,2356,,66.9,115.1,.339,.379,.585,51.2,50.7,13.0,11.3,.553,13.3,29.4,.252
78,East Texas A&M,32,11,21,.344,-11.20,-2.24,,6,16,,6,8,,4,13,,2246,2385,,69.3,101.2,.311,.464,.534,47.2,64.9,10.5,8.7,.508,16.5,26.6,.211
79,Eastern Illinois,33,13,20,.394,-13.84,-6.21,,8,12,,9,6,,3,13,,2214,2321,,66.6,99.6,.332,.301,.517,48.1,51.1,11.5,9.4,.476,16.1,29.4,.244
80,Eastern Kentucky,32,11,21,.344,-10.43,-4.83,,7,11,,8,7,,3,13,,2568,2619,,69.8,113.3,.312,.507,.557,50.3,53.4,9.9,9.0,.527,14.0,33.7,.226
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
81,Eastern Michigan,31,10,21,.323,-6.02,-1.82,,4,14,,7,7,,3,14,,2191,2279,,68.4,102.4,.295,.319,.530,50.0,48.5,8.6,10.9,.497,15.2,28.4,.215
82,Eastern Washington,33,14,19,.424,-2.36,-0.86,,11,7,,8,4,,5,13,,2576,2606,,69.1,112.2,.357,.348,.574,50.3,49.0,8.5,9.6,.539,15.3,31.5,.265
83,Elon,32,14,18,.438,-5.74,-3.27,,6,12,,8,8,,6,9,,2500,2492,,68.1,113.0,.337,.431,.557,50.1,54.5,10.0,8.9,.525,13.4,33.3,.243
84,Evansville,32,7,25,.219,-9.23,3.27,,3,17,,5,10,,1,12,,2143,2447,,67.5,98.5,.297,.433,.532,46.7,55.6,7.7,10.0,.499,17.0,23.0,.217
85,Fairfield,34,21,13,.618,-8.11,-9.11,,11,9,,12,4,,7,8,,2528,2432,,67.6,109.6,.277,.359,.521,52.7,45.0,9.8,9.6,.491,12.5,36.1,.197
86,FDU,32,11,21,.344,-15.19,-7.64,,8,10,,8,6,,3,15,,2150,2245,,64.5,103.8,.321,.455,.517,52.5,51.9,7.8,4.9,.483,15.4,33.6,.226
87,Florida NCAA,35,27,8,.771,27.74,12.14,,16,2,,14,1,,8,2,,3050,2504,,72.0,120.9,.390,.370,.574,59.7,55.0,9.2,12.4,.541,13.4,43.3,.278
88,Florida A&M,31,15,16,.484,-14.33,-9.27,,11,7,,8,4,,5,11,,2183,2312,,70.3,99.7,.374,.376,.532,49.9,52.4,11.5,8.1,.497,18.6,30.9,.261
89,Florida Atlantic,33,18,15,.545,3.68,1.84,,9,9,,11,4,,4,8,,2596,2453,,70.4,110.5,.330,.386,.555,52.8,46.8,8.3,14.0,.525,14.8,32.9,.234
90,Florida Gulf Coast,34,16,18,.471,-6.63,-5.26,,8,10,,11,6,,3,11,,2631,2598,,69.3,110.5,.287,.393,.546,52.0,52.0,11.0,11.5,.518,13.4,32.6,.206
91,Florida International,32,15,17,.469,-2.00,-0.66,,8,12,,12,6,,3,10,,2580,2492,,72.8,109.5,.390,.334,.548,50.9,52.4,12.4,13.6,.515,15.0,35.4,.268
92,Florida State,33,18,15,.545,11.10,8.67,,10,8,,11,6,,6,5,,2652,2572,,71.8,111.9,.347,.506,.555,48.0,52.5,11.0,11.6,.523,13.1,30.8,.247
93,Fordham,32,17,15,.531,0.09,-1.12,,8,10,,11,7,,4,6,,2235,2095,,65.7,105.9,.257,.384,.522,54.5,54.7,11.1,6.8,.496,14.6,34.8,.179
94,Fresno State,32,13,19,.406,3.38,4.54,,7,13,,10,8,,2,10,,2331,2330,,69.4,104.9,.343,.407,.549,49.5,50.3,9.6,6.6,.510,16.0,28.3,.256
95,Furman NCAA,35,22,13,.629,-2.91,-5.38,,10,8,,11,5,,7,5,,2671,2479,,66.7,113.3,.323,.471,.576,53.6,57.2,7.0,9.5,.552,15.2,32.2,.224
96,Gardner-Webb,33,4,29,.121,-22.51,-2.01,,1,15,,3,10,,0,16,,2248,2820,,71.0,96.0,.307,.387,.517,43.8,41.3,8.9,6.8,.487,17.1,23.8,.210
97,George Mason,33,23,10,.697,5.97,1.07,,11,7,,17,3,,4,6,,2418,2237,,64.9,112.9,.420,.348,.571,52.9,49.6,7.8,9.1,.531,14.1,31.6,.308
98,George Washington,35,19,16,.543,8.27,2.57,,8,10,,12,4,,4,8,,2848,2597,,70.3,115.4,.344,.469,.576,53.7,55.7,10.5,10.8,.546,15.4,35.9,.249
