Team,Conference,Net,Offensive,Defensive,Possessions
Southeastern Louisiana,Southland,-12.44,96.40,108.84,66.07
Southern,SWAC,-7.79,103.57,111.36,73.17
USC,Big Ten,16.57,116.37,99.80,72.44
Southern Illinois,MVC,5.74,103.80,98.06,70.57
SIUE,OVC,-5.64,98.05,103.69,67.27
Southern Indiana,OVC,-20.94,92.46,113.40,69.68
SMU,ACC,24.77,126.66,101.89,70.77
Southern Miss,Sun Belt,-5.74,102.61,108.35,70.49
Southern Utah,WAC,-5.47,105.09,110.56,72.40
St. Bonaventure,A10,4.81,113.41,108.60,68.01
St. John's,Big East,32.08,122.99,90.91,70.79
St. Thomas,Summit League,7.04,112.74,105.70,69.93
Stanford,ACC,17.61,118.30,100.69,68.05
Stephen F. Austin,Southland,8.59,110.93,102.34,67.05
Stetson,ASUN,-15.51,103.98,119.49,68.51
Stonehill,NEC,-16.11,91.14,107.25,68.24
Stony Brook,CAA,-5.47,102.71,108.18,67.97
Syracuse,ACC,13.92,114.96,101.04,69.16
Tarleton State,WAC,-1.56,101.64,103.20,72.50
Temple,American,3.65,111.64,107.99,65.85
Tennessee,SEC,32.25,125.66,93.41,68.05
Tennessee State,OVC,-2.94,105.12,108.06,72.44
Tennessee Tech,OVC,-13.28,99.61,112.89,69.53
UT Martin,OVC,-2.25,97.50,99.75,67.09
Texas,SEC,26.89,128.63,101.74,69.14
Texas A&M,SEC,22.36,123.63,101.27,73.82
Texas A&M CC,Southland,4.74,104.76,100.02,68.33
TCU,Big 12,22.17,117.83,95.66,70.03
Texas Southern,SWAC,-16.18,97.74,113.92,72.48
Texas State,Sun Belt,-4.94,103.01,107.95,68.44
Texas Tech,Big 12,31.55,128.79,97.24,68.08
UTRGV,Southland,6.41,110.98,104.57,67.30
The Citadel,SoCon,-20.26,101.63,121.89,66.43
Toledo,MAC,3.74,114.65,110.91,69.81
Towson,CAA,2.31,105.44,103.13,64.91
Troy,Sun Belt,3.41,109.85,106.44,70.27
Tulane,American,-3.10,106.06,109.16,68.73
Tulsa,American,19.34,122.76,103.42,70.23
UAB,American,7.32,110.38,103.06,71.62
UC Davis,Big West,1.55,106.21,104.66,72.38
UC Irvine,Big West,9.33,105.53,96.20,72.46
UC Riverside,Big West,-8.10,102.55,110.65,70.82
UC San Diego,Big West,4.67,106.79,102.12,69.92
UC Santa Barbara,Big West,4.48,111.86,107.38,68.38
UCF,Big 12,19.36,121.52,102.16,71.09
UCLA,Big Ten,26.53,125.09,98.56,66.39
UNC Asheville,Big South,-5.14,104.54,109.68,68.35
UNC Greensboro,SoCon,-11.84,108.09,119.93,69.74
UNC Wilmington,CAA,5.96,110.71,104.75,66.84
UT Arlington,WAC,2.44,101.51,99.07,68.09
Utah,Big 12,8.17,116.13,107.96,68.52
Utah State,MWC,28.14,125.92,97.78,68.47
Utah Tech,WAC,1.81,108.32,106.51,70.21
Utah Valley,WAC,13.60,112.08,98.48,70.70
UTEP,CUSA,-5.57,102.05,107.62,67.68
UTSA,American,-14.56,99.65,114.21,70.35
Valparaiso,MVC,1.64,107.03,105.39,67.38
Vanderbilt,SEC,32.68,130.25,97.57,70.85
Vermont,America East,-7.41,104.49,111.90,65.39
Villanova,Big East,23.48,122.34,98.86,67.25
Virginia,ACC,30.77,126.33,95.56,67.50
VCU,A10,18.62,119.33,100.71,69.59
VMI,SoCon,-20.87,100.54,121.41,68.62
Virginia Tech,ACC,18.22,119.29,101.07,69.94
Wagner,NEC,-12.85,99.39,112.24,67.48
Wake Forest,ACC,17.41,119.82,102.41,70.11
Washington,Big Ten,19.78,119.69,99.91,68.90
Washington State,West Coast,5.74,113.82,108.08,68.95
Weber State,Big Sky,1.01,111.32,110.31,71.49
West Georgia,ASUN,-13.16,103.00,116.16,71.29
West Virginia,Big 12,18.62,113.98,95.36,65.40
Western Carolina,SoCon,-4.86,109.35,114.21,69.87
Western Illinois,OVC,-29.42,90.80,120.22,67.40
Western Kentucky,CUSA,3.16,109.94,106.78,71.84
Western Michigan,MAC,-11.44,104.64,116.08,70.31
Wichita State,American,14.93,115.32,100.39,68.91
William & Mary,CAA,3.81,110.71,106.90,73.60
Winthrop,Big South,4.87,112.23,107.36,72.25
Wisconsin,Big Ten,27.78,127.98,100.20,70.03
Wofford,SoCon,-9.08,109.44,118.52,68.44
Wright State,Horizon,4.23,113.47,109.24,69.11
Wyoming,MWC,11.30,116.29,104.99,67.91
Xavier,Big East,12.04,116.73,104.69,71.62
Yale,Ivy League,11.86,119.62,107.76,66.77
Youngstown St,Horizon,-0.07,108.82,108.89,69.35
