School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Kansas ,35,24,11,0.686,20.42,14.36,,12,6,,14,2,,5,6,,2629,2417,,1410,858,2221,0.386,284,929,0.306,417,608,0.686,432,1286,406,230,109,333,558
Kansas City,31,4,27,0.129,-20.08,-2.33,,1,15,,3,11,,1,15,,2149,2600,,1245,951,1968,0.483,276,759,0.364,422,597,0.707,380,1241,497,247,113,370,543
Kansas State,32,12,20,0.375,8.23,10.51,,3,15,,10,8,,1,10,,2546,2619,,1280,924,2010,0.46,261,775,0.337,510,707,0.721,388,1195,522,237,132,403,498
Kennesaw State ,35,21,14,0.6,0.43,-1.35,,10,10,,13,3,,4,8,,2898,2659,,1410,849,2086,0.407,258,786,0.328,703,941,0.747,400,1248,415,271,147,424,703
Kent State,34,24,10,0.706,-0.84,-2.47,,14,4,,14,3,,7,6,,2866,2707,,1385,910,2086,0.436,312,908,0.344,575,799,0.72,361,1171,498,238,107,408,704
Kentucky ,36,22,14,0.611,19.13,12.96,,10,8,,14,4,,4,6,,2898,2676,,1445,915,2150,0.426,273,858,0.318,573,782,0.733,396,1240,507,245,111,390,651
La Salle,32,9,23,0.281,-4.21,3.89,,5,13,,7,6,,1,13,,2148,2370,,1280,852,1833,0.465,281,775,0.363,385,559,0.689,339,1108,520,212,150,366,548
Lafayette,32,11,21,0.344,-13.09,-6.83,,8,10,,6,10,,5,11,,2222,2381,,1285,857,1857,0.461,255,716,0.356,412,559,0.737,303,1145,506,174,114,342,555
Lamar,31,12,19,0.387,-5.96,-3.9,,7,15,,7,8,,5,10,,2167,2143,,1245,721,1661,0.434,215,616,0.349,486,708,0.686,303,1028,414,234,101,369,478
Le Moyne,32,15,17,0.469,-11.08,-9.5,,10,8,,9,4,,5,12,,2336,2341,,1280,807,1925,0.419,272,759,0.358,455,619,0.735,347,1126,443,242,97,345,563
Lehigh ,35,18,17,0.514,-10.05,-7.48,,11,7,,13,4,,4,11,,2545,2582,,1445,935,2095,0.446,217,666,0.326,495,656,0.755,378,1252,412,291,100,394,594
Liberty,34,26,8,0.765,2.54,-1.11,,17,3,,14,2,,11,3,,2641,2397,,1370,880,1955,0.45,267,718,0.372,370,508,0.728,351,1145,409,178,99,377,532
Lindenwood,33,18,15,0.545,-9.44,-8.77,,11,9,,9,5,,7,9,,2566,2398,,1320,856,2020,0.424,203,665,0.305,483,717,0.674,395,1216,408,274,126,468,586
Lipscomb,32,19,13,0.594,-4.52,-5.12,,12,6,,13,1,,6,11,,2549,2423,,1285,885,1950,0.454,264,780,0.338,389,546,0.712,341,1154,405,209,99,413,491
Little Rock,32,12,20,0.375,-13.3,-8.03,,9,11,,7,6,,5,13,,2257,2372,,1280,843,1888,0.447,262,757,0.346,424,609,0.696,404,1169,444,241,75,417,475
Long Beach State,32,10,22,0.313,-5.83,-0.07,,6,14,,7,9,,3,13,,2396,2489,,1295,854,1816,0.47,218,632,0.345,563,750,0.751,278,1093,447,213,86,418,540
