Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_School,Overall_G,Overall_W,Overall_L,Overall_W-L%,Overall_SRS,Overall_SOS,Unnamed: 8_level_0_Unnamed: 8_level_1,Conf._W,Conf._L,Unnamed: 11_level_0_Unnamed: 11_level_1,Home_W,Home_L,Unnamed: 14_level_0_Unnamed: 14_level_1,Away_W,Away_L,Unnamed: 17_level_0_Unnamed: 17_level_1,Points_Tm.,Points_Opp.,Unnamed: 20_level_0_Unnamed: 20_level_1,Opponent_MP,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF
30,Brigham Young NCAA,35,23,12,.657,20.39,12.27,,9,9,,12,3,,3,6,,2924,2640,,1405,953,2149,.443,296,838,.353,438,620,.706,381,1202,515,220,106,405,647
31,Brown,27,9,18,.333,-10.16,-4.92,,3,11,,6,8,,3,10,,1900,1892,,1100,641,1483,.432,207,631,.328,403,534,.755,258,927,356,207,91,364,414
32,Bryant,31,9,22,.290,-18.35,-8.08,,5,11,,8,5,,1,17,,2010,2246,,1255,805,1777,.453,224,632,.354,412,578,.713,321,1087,406,248,72,301,469
33,Bucknell,33,10,23,.303,-14.66,-5.72,,6,12,,6,8,,4,12,,2223,2518,,1336,857,1852,.463,313,846,.370,491,653,.752,334,1155,530,249,122,400,541
34,Buffalo,32,17,15,.531,-3.77,-4.24,,7,11,,7,8,,8,6,,2497,2438,,1290,874,1839,.475,268,766,.350,422,575,.734,317,1067,514,213,78,386,557
35,Butler,32,16,16,.500,10.28,8.44,,7,13,,10,7,,3,8,,2540,2481,,1300,931,2039,.457,255,765,.333,364,507,.718,349,1099,500,217,149,344,647
36,Cal Poly,33,14,19,.424,-4.52,-0.55,,10,10,,8,6,,6,11,,2710,2805,,1325,991,2154,.460,308,895,.344,515,711,.724,383,1245,520,239,112,413,649
37,Cal State Bakersfield,32,8,24,.250,-13.06,-1.63,,2,18,,6,11,,2,13,,2339,2629,,1280,890,1915,.465,262,735,.356,587,816,.719,402,1227,475,240,116,428,619
38,Cal State Fullerton,34,18,16,.529,-2.18,-0.31,,12,8,,10,4,,6,10,,2822,2778,,1360,956,2088,.458,324,958,.338,542,723,.750,341,1302,561,207,96,512,688
39,Cal State Northridge,34,20,14,.588,-2.34,-1.65,,12,8,,12,3,,7,8,,2767,2713,,1365,906,2132,.425,350,1036,.338,551,730,.755,344,1230,530,268,145,435,624
40,California,34,22,12,.647,11.15,6.82,,9,9,,17,5,,4,6,,2658,2493,,1370,878,2015,.436,258,825,.313,479,728,.658,377,1244,497,178,126,390,615
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
41,California Baptist NCAA,34,25,9,.735,2.56,-2.50,,13,5,,15,0,,7,7,,2470,2298,,1375,804,1931,.416,180,611,.295,510,707,.721,332,1116,366,230,132,394,609
42,Campbell,34,16,18,.471,-3.20,-0.45,,8,10,,10,4,,3,13,,2691,2639,,1360,954,1999,.477,207,591,.350,524,711,.737,349,1125,467,236,126,415,668
43,Canisius,31,10,21,.323,-17.00,-7.87,,5,15,,7,8,,3,13,,1951,2184,,1245,756,1696,.446,243,746,.326,429,596,.720,300,1058,424,207,101,329,478
44,Central Arkansas,34,22,12,.647,-1.72,-5.03,,15,3,,14,1,,6,10,,2749,2541,,1385,887,1977,.449,356,1040,.342,411,564,.729,303,1175,547,223,112,469,571
45,Central Connecticut State,30,18,12,.600,-11.55,-10.16,,12,6,,10,4,,8,8,,2215,2127,,1205,771,1794,.430,236,718,.329,349,457,.764,307,990,420,189,68,282,476
46,Central Michigan,31,10,21,.323,-8.76,-2.76,,6,12,,8,5,,1,15,,2275,2384,,1240,835,1803,.463,242,707,.342,472,689,.685,359,1093,488,244,99,380,523
47,Charleston Southern,32,15,17,.469,-6.83,-6.80,,6,10,,10,4,,5,11,,2670,2563,,1310,871,2109,.413,202,662,.305,619,873,.709,399,1263,336,261,97,305,557
48,Charlotte,34,17,17,.500,-0.24,1.03,,9,9,,11,6,,4,8,,2492,2530,,1385,878,1981,.443,272,805,.338,502,706,.711,381,1105,446,228,97,306,568
49,Chattanooga,32,13,19,.406,-11.09,-7.16,,7,11,,7,8,,6,9,,2454,2408,,1280,800,1875,.427,269,821,.328,539,764,.705,351,1139,417,180,72,301,512
50,Chicago State,32,7,25,.219,-16.47,-5.12,,5,13,,5,6,,2,19,,2105,2434,,1285,818,1727,.474,318,891,.357,480,642,.748,340,1160,591,177,108,427,489
51,Cincinnati,33,18,15,.545,15.15,9.60,,9,9,,15,3,,2,8,,2413,2230,,1325,791,1922,.412,238,767,.310,410,577,.711,325,1156,431,189,76,417,530
