Player,PPG,Assigned_Team
Devon Malcolm,5.8,California Baptist
Bradey Henige,4.9,California Baptist
Thomas Ndong,4.9,California Baptist
Jordan Mueller,4.4,California Baptist
Rene D'Amelio,2.6,California Baptist
Miles Daniels,2.5,California Baptist
Nathaniel Garcia,2.4,California Baptist
Monty Bowser,2.1,California Baptist
Jalen Dollar,1.5,California Baptist
Connor Sevilla,13.3,California Davis
Marcus Wilson,12.5,California Davis
Nils Cooper,12.3,California Davis
Carl Daugherty Jr.,10.0,California Davis
Niko Rocak,9.4,California Davis
Isaiah Chappell,8.5,California Davis
Brayden Fagbemi,7.0,California Davis
Omer Suljanovic,5.6,California Davis
Jalen Stokes,4.7,California Davis
Chase Rawlins,1.6,California Davis
Cyril Franklin Jr.,1.3,California Davis
Abdullah Amzil,0.4,California Davis
Jonathan Noudjihidi,0.3,California Davis
Jurian Dixon,15.9,California Irvine
Kyle Evans,12.1,California Irvine
Derin Saran,11.5,California Irvine
Andre Henry,9.9,California Irvine
Harrison Carrington,8.5,California Irvine
Jovan Jester Jr.,6.5,California Irvine
Tama Isaac,6.3,California Irvine
Eli Chol,4.6,California Irvine
Akiva McBirney-Griffin,2.4,California Irvine
Nes Emeneke,1.3,California Irvine
Tishan Ahir,1.0,California Irvine
Ben Egbo,0.9,California Irvine
Andrew Henderson,18.1,California Riverside
Marqui Worthy,16.4,California Riverside
Osiris Grady,10.2,California Riverside
BJ Kolly,8.7,California Riverside
De'Undrae Perteete,6.7,California Riverside
Jailen Daniel-Dalton,6.0,California Riverside
Ben Waller,4.3,California Riverside
Dylan Godfrey,3.3,California Riverside
Tyler Jones,2.9,California Riverside
Denzel Hines,1.3,California Riverside
EJ Spillman,0.7,California Riverside
Daniel Tobiloba,0.3,California Riverside
Leo Beath,12.2,California San Diego
Hudson Mayes,11.1,California San Diego
Bol Dengdit,10.7,California San Diego
Tom Beattie,10.6,California San Diego
Alex Chaikin,9.7,California San Diego
Emanuel Prospere II,8.0,California San Diego
Aidan Burke,6.2,California San Diego
Jaden Vance,5.0,California San Diego
Dimitrije Vukicevic,2.6,California San Diego
Trap Johnson,2.6,California San Diego
Cade Pendleton,2.1,California San Diego
Ryder Elisaldez,0.9,California San Diego
Christopher Cox,0.5,California San Diego
Yaqub Mir,0.0,California San Diego
Aidan Mahaney,14.9,California Santa Barbara
CJ Shaw,12.2,California Santa Barbara
Colin Smith,11.9,California Santa Barbara
Miro Little,11.9,California Santa Barbara
Zion Sensley,10.9,California Santa Barbara
Hosana Kitenge,7.5,California Santa Barbara
Jason Fontenet II,6.6,California Santa Barbara
Marvin McGhee IV,6.3,California Santa Barbara
Zachiah Clark,3.1,California Santa Barbara
Evans Kipruto,2.6,California Santa Barbara
Michael Simcoe,2.2,California Santa Barbara
Koat Keat Tong,2.0,California Santa Barbara
Kyle Haughy,1.0,California Santa Barbara
Luke Zuffelato,1.0,California Santa Barbara
Isaac Shingange,0.3,California Santa Barbara
John Simcoe,0.0,California Santa Barbara
Dai Dai Ames,16.9,California
Chris Bell,14.2,California
Justin Pippen,14.2,California
John Camden,13.8,California
Lee Dort,8.1,California
Rytis Petraitis,5.3,California
Semetri (TT) Carr,3.8,California
Milos Ilic,3.6,California
DJ Campbell,3.3,California
Nolan Dorsey,1.9,California
Mantas Kocanas,1.7,California
Sammie Yeanay,1.1,California
Dhiaukuei Manyiel Dut,0.4,California
BJ Fisher,0.3,California
Luke Butler,0.0,California
Stephon Marbury II,0.0,California
D.J. Smith,19.0,Campbell
Jeremiah Johnson,15.2,Campbell
Dovydas Butka,13.9,Campbell
Chris Fields Jr.,9.7,Campbell
Cam Gregory,8.0,Campbell
Tasos Cook,7.2,Campbell
Muneer Newton,6.7,Campbell
