Player,Assigned_Team,Games_Tracked,Season_Off_Possessions,Weighted_ORtg,Season_Def_Possessions,Weighted_DRtg,Net_Efficiency_Rating,Net_Points_Produced
Jaylen Petty,Texas Tech Red Raiders,33,1534.1,99.7,1529.9,94.1,5.5,85.1
Madison Durr,Unc Wilmington Seahawks,32,1072.8,98.8,1079.1,90.9,7.9,84.7
John Bol,Ucf Knights,33,1060.3,100.5,1040.5,92.5,8.0,84.7
Tyler Rolison,Nevada Wolf Pack,34,935.9,100.2,928.9,91.2,9.0,84.7
Mikel Brown Jr.,Louisville Cardinals,21,1012.1,100.1,1002.7,91.8,8.3,84.3
Ben Defty,Boston University Terriers,33,1520.3,100.7,1501.0,95.2,5.5,83.7
AJ Smith,Bradley Braves,33,1363.9,97.6,1365.4,91.5,6.1,83.4
Tramon Mark,Texas Longhorns,35,1590.6,105.0,1615.1,99.7,5.2,83.4
Justin Rochelin,Pacific Tigers,31,1346.1,96.9,1368.2,90.7,6.2,83.0
Chendall Weaver,Texas Longhorns,35,1133.5,109.5,1145.3,102.2,7.3,83.0
Rafael Castro,George Washington Revolutionaries,28,1322.7,98.7,1279.3,92.4,6.3,82.9
Aaron Nkrumah,Tennessee State Tigers,30,1631.7,98.1,1615.3,93.0,5.1,82.7
Jonathan Powell,North Carolina Tar Heels,33,859.7,96.0,850.1,86.3,9.6,82.7
Pablo Tamba,Lsu Tigers,31,1388.3,106.0,1371.9,100.1,5.9,82.6
Aly Khalifa,Louisville Cardinals,35,694.6,95.5,682.1,83.6,11.9,82.6
Michael Imariagbe,Wright State Raiders,32,1293.9,104.3,1274.0,97.9,6.4,82.5
Divine Ugochukwu,Michigan State Spartans,22,509.2,102.3,516.5,86.2,16.2,82.3
Juke Harris,Wake Forest Demon Deacons,35,2053.0,97.5,2056.4,93.5,4.0,82.2
Eoin Dillon,Belmont Bruins,31,835.1,102.9,808.3,93.0,9.8,82.1
Brandon Williams,Ucla Bruins,34,620.0,106.0,638.5,92.7,13.2,82.1
Noah Taitz,Utah Valley Wolverines,27,872.5,97.7,857.7,88.3,9.4,81.9
Tajavis Miller,New Mexico Lobos,31,810.3,95.9,825.1,85.8,10.1,81.7
Seth Trimble,North Carolina Tar Heels,24,1251.3,100.3,1240.3,93.8,6.5,81.7
Cash Chavis,Ut Arlington Mavericks,30,1357.4,97.4,1346.0,91.4,6.0,81.6
Tunde Vahlberg Fasasi,William & Mary Tribe,30,1447.6,98.9,1427.9,93.2,5.6,81.6
Elzie Harrington,San Diego State Aztecs,22,775.8,96.5,779.7,86.1,10.5,81.4
Derrian Ford,Temple Owls,30,1722.2,100.2,1726.8,95.5,4.7,81.3
Jadin Collins-Roberts,Marist Red Foxes,30,1441.7,91.1,1443.1,85.4,5.6,81.2
Troy Glover II,Bowling Green Falcons,29,1158.2,98.3,1149.6,91.3,7.0,81.1
Sam Towns,Bowling Green Falcons,29,1606.7,95.4,1595.7,90.3,5.0,81.0
Dola Adebayo,George Mason Patriots,26,473.1,106.5,463.1,89.4,17.1,81.0
Azavier Robinson,Butler Bulldogs,22,674.8,104.3,671.6,92.3,12.0,81.0
Jaiun Simon,Dayton Flyers,36,997.3,96.5,1015.4,88.3,8.1,81.0
Jacob Cofie,Usc Trojans,31,1561.3,98.6,1560.1,93.5,5.2,80.9
Andrew Ball,Monmouth Hawks,33,1100.6,97.6,1101.5,90.2,7.3,80.8
Salim London,Uab Blazers,30,948.5,98.6,950.3,90.1,8.5,80.6
Jaylen Curry,Oklahoma State Cowboys,33,1359.3,100.2,1348.1,94.3,5.9,80.4
Zawdie Jackson,Florida International Panthers,29,1410.3,95.9,1435.2,90.2,5.7,80.4
Ja'Corey Robinson,Austin Peay Governors,28,803.3,104.5,809.8,94.5,10.0,80.2
Jason Rivera-Torres,Monmouth Hawks,33,1873.1,94.6,1868.8,90.3,4.3,80.2
Jack Benter,Purdue Boilermakers,38,770.5,103.2,765.2,92.8,10.4,80.1
Evan Chatman,Uab Blazers,30,1459.2,95.3,1429.2,89.8,5.5,80.1
Curt Lewis,Southern Miss Golden Eagles,33,1287.3,97.6,1279.7,91.4,6.2,80.1
Dylan Brumfield,Southern Miss Golden Eagles,33,1776.5,98.8,1752.2,94.3,4.5,80.1
Josh Ahayere,Colgate Raiders,30,1205.0,100.7,1226.2,94.0,6.6,79.9
Josiah Shackelford,Bowling Green Falcons,29,1165.5,99.2,1166.0,92.4,6.8,79.4
Trey Parker,Seton Hall Pirates,31,728.4,95.0,742.0,84.1,10.9,79.4
Nick Pringle,Arkansas Razorbacks,35,1116.4,101.7,1092.5,94.6,7.1,79.4
Latrell Wrightsell,Alabama Crimson Tide,27,1302.7,101.6,1312.6,95.5,6.1,79.4
Aiden Argabright,Richmond Spiders,30,1181.1,98.4,1177.5,91.7,6.7,78.7
Austin Rapp,Wisconsin Badgers,30,1133.8,99.7,1109.5,92.7,6.9,78.4
Emil Skytta,North Dakota State Bison,23,442.7,98.3,448.1,80.6,17.7,78.3
J'Vonne Hadley,Louisville Cardinals,34,1546.6,99.4,1533.0,94.3,5.1,78.2
Ta'Zir Smith,Robert Morris Colonials,29,868.2,111.4,892.8,102.4,9.0,78.2
Dasear Haskins,Saint Joseph'S Hawks,34,1576.7,93.5,1576.9,88.5,5.0,78.2
Jack Campion,Siu Edwardsville Cougars,29,1331.9,93.2,1327.6,87.3,5.9,78.2
Quel'Ron House,Southern Illinois Salukis,29,1490.7,91.9,1489.6,86.7,5.2,78.0
Tom Beattie,Uc San Diego Tritons,32,1693.2,90.7,1679.3,86.0,4.6,78.0
German Plotnikov,Hofstra Pride,31,1587.8,95.1,1593.2,90.2,4.9,77.9
Brett White II,Oakland Golden Grizzlies,31,1264.9,105.1,1262.6,98.9,6.1,77.8
Amir Taylor,Kennesaw State Owls,30,926.3,98.7,917.1,90.3,8.4,77.6
Isiah Harwell,Houston Cougars,29,561.6,93.8,559.5,80.1,13.8,77.3
Yanis Ndjonga,Mcneese Cowboys,26,342.7,103.3,358.7,80.9,22.4,76.9
Sencire Harris,Cincinnati Bearcats,31,860.6,91.7,873.5,82.8,8.9,76.7
Kyndall Davis,Texas State Bobcats,28,1097.6,94.7,1092.4,87.7,7.0,76.5
