Player,Points_Per_Game,Assigned_Team_x,Unnamed: 0,Assigned_Team,Games_Tracked,Season_Off_Possessions,Weighted_ORtg,Season_Def_Possessions,Weighted_DRtg,Net_Efficiency_Rating,Net_Points_Produced,Balanced,Star,Defense,WAR
Santiago Trouet,8.1,Arizona State,3693,Arizona State Sun Devils,31,1260.5,93.5,1332.4,98.0,-4.6,-57.5,-127.2,-56.7,-583.2,-55.3
Bryce Ford,6.9,Arizona State,2759,Arizona State Sun Devils,27,943.7,94.4,990.4,96.1,-1.7,-16.1,-60.9,-16.0,-164.4,-14.2
Andrija Grbovic,6.8,Arizona State,463,Arizona State Sun Devils,27,1514.0,99.9,1607.5,93.0,6.9,103.9,17.5,104.5,1076.4,111.0
Noah Meeusen,5.9,Arizona State,1103,Arizona State Sun Devils,30,1275.1,96.9,1338.1,94.1,2.8,36.3,-23.6,35.7,365.7,39.4
Marcus Adams Jr.,3.6,Arizona State,1940,Arizona State Sun Devils,14,287.5,99.5,305.5,99.2,0.3,0.9,-17.0,0.9,8.9,1.0
Trevor Best,1.3,Arizona State,2785,Arizona State Sun Devils,16,172.9,89.6,183.2,99.4,-9.7,-16.8,-27.2,-16.9,-174.4,-16.9
Kash Polk,0.0,Arizona State,1970,Arizona State Sun Devils,5,1.4,210.5,2.0,200.0,10.5,0.2,-1.1,0.1,1.8,-0.5
Brayden Burries,16.1,Arizona,4,Arizona Wildcats,39,1847.9,110.3,1851.0,84.5,25.8,476.6,474.1,476.8,4771.6,477.2
Koa Peat,14.1,Arizona,5,Arizona Wildcats,36,1607.3,110.4,1604.8,81.4,29.0,466.0,468.2,466.1,4657.5,465.7
Jaden Bradley,13.3,Arizona,1,Arizona Wildcats,39,1954.8,109.0,1946.9,83.1,25.9,506.4,512.9,506.3,5052.7,505.0
Ivan Kharchenkov,10.4,Arizona,6,Arizona Wildcats,39,1725.7,110.2,1737.7,84.3,25.9,446.2,436.8,447.0,4485.1,448.8
Motiejus Krivas,10.4,Arizona,2,Arizona Wildcats,39,1647.2,108.4,1652.6,79.2,29.2,480.2,476.7,481.0,4817.7,482.1
Tobe Awaka,9.3,Arizona,77,Arizona Wildcats,39,1250.3,109.0,1245.4,90.3,18.8,234.6,238.2,233.8,2333.5,233.3
Anthony Dell'Orso,8.5,Arizona,65,Arizona Wildcats,39,1265.7,107.4,1266.0,87.8,19.5,247.3,247.8,248.1,2481.1,248.1
Dwayne Aristode,3.8,Arizona,231,Arizona Wildcats,34,636.6,107.5,642.3,82.4,25.1,159.7,155.1,159.8,1605.0,160.8
Sidi Gueye,1.3,Arizona,2015,Arizona Wildcats,7,41.3,106.6,44.6,107.6,-1.0,-0.4,-4.0,-0.4,-4.3,-0.7
Evan Nelson,0.6,Arizona,1759,Arizona Wildcats,5,27.7,140.8,30.9,123.2,17.6,4.9,0.9,4.9,51.5,4.1
Johnathan Lawson,16.2,Arkansas Little Rock,4380,Little Rock Trojans,29,1719.6,89.0,1702.2,97.6,-8.7,-149.0,-130.9,-147.9,-1471.4,-148.3
Cameron Wallace,12.7,Arkansas Little Rock,3284,Little Rock Trojans,30,1321.8,92.6,1308.2,95.2,-2.6,-34.9,-21.4,-34.4,-341.9,-35.0
Kachi Nzeh,11.7,Arkansas Little Rock,4092,Little Rock Trojans,30,1411.4,88.6,1391.2,95.3,-6.7,-94.2,-75.3,-94.6,-938.8,-95.5
Braxton Bayless,10.3,Arkansas Little Rock,4268,Little Rock Trojans,30,1621.0,88.6,1613.7,95.9,-7.3,-118.0,-111.3,-118.3,-1180.7,-118.6
Tuongthach Gatkek,9.4,Arkansas Little Rock,2530,Little Rock Trojans,27,1339.4,93.0,1316.9,93.8,-0.8,-10.1,10.4,-10.7,-106.2,-12.1
Terrion Burgess,7.5,Arkansas Little Rock,3287,Little Rock Trojans,5,176.4,83.3,179.3,103.2,-19.9,-35.0,-38.1,-35.1,-353.9,-35.2
Truman Claytor IV,6.1,Arkansas Little Rock,4009,Little Rock Trojans,27,692.6,89.4,684.5,101.5,-12.2,-84.2,-75.6,-83.8,-833.1,-83.7
Joseph Thomas,3.2,Arkansas Little Rock,1830,Little Rock Trojans,9,168.7,98.4,167.8,96.5,1.9,3.2,4.1,3.2,32.0,3.2
Caleb Pennyfeather,2.2,Arkansas Little Rock,3968,Little Rock Trojans,27,450.0,87.8,460.3,105.6,-17.8,-80.1,-91.0,-80.1,-810.1,-80.7
Tracy Steele Jr.,1.7,Arkansas Little Rock,2164,Little Rock Trojans,22,328.3,92.6,335.1,93.4,-0.8,-2.6,-9.0,-2.6,-26.5,-2.2
Christian Hughes,0.9,Arkansas Little Rock,2903,Little Rock Trojans,7,155.2,88.3,166.7,101.4,-13.1,-20.3,-32.0,-20.3,-210.7,-20.5
Quion Williams,17.7,Arkansas Pine Bluff,4446,Arkansas-Pine Bluff Golden Lions,30,1827.5,90.5,1814.6,100.1,-9.6,-175.9,-162.5,-175.4,-1748.2,-175.4
Jaquan Scott,16.0,Arkansas Pine Bluff,4300,Arkansas-Pine Bluff Golden Lions,30,1423.5,91.7,1397.7,100.5,-8.8,-125.0,-99.3,-125.3,-1241.3,-125.1
Alex Mirhosseini,11.7,Arkansas Pine Bluff,4382,Arkansas-Pine Bluff Golden Lions,29,1530.1,90.5,1523.5,100.2,-9.8,-149.6,-141.8,-148.4,-1481.0,-148.4
Milhan Charles,10.5,Arkansas Pine Bluff,4298,Arkansas-Pine Bluff Golden Lions,30,1517.2,92.4,1500.7,100.6,-8.2,-124.6,-107.8,-124.4,-1237.3,-124.3
Trevon Payton,10.0,Arkansas Pine Bluff,4455,Arkansas-Pine Bluff Golden Lions,30,1714.0,91.3,1700.5,101.7,-10.4,-178.7,-164.5,-178.3,-1775.5,-178.0
Ramel Lloyd Jr.,6.8,Arkansas Pine Bluff,3343,Arkansas-Pine Bluff Golden Lions,20,686.8,93.5,688.0,99.0,-5.5,-37.8,-39.0,-37.8,-378.1,-37.8
Ahmad Johnson,3.7,Arkansas Pine Bluff,3730,Arkansas-Pine Bluff Golden Lions,26,463.7,92.7,469.4,105.7,-12.9,-60.0,-66.3,-60.3,-606.5,-60.6
